Hour,Region,AvailableRenewable_MW,Total_Load_MW,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,ChargePower_MW,DischargePower_MW,SOC_MWh,RenewableToLoad_MW,RenewableCharge_MW,GridCharge_MW,GridPurchase_MW,GridLoadPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,GridEnergyForCost_MW
11,RegionE,1089.7800000000,452.5875000000,382.6600000000,298.4700000000,0.2074000000,0.0000000000,0.0000000000,370.0000000000,452.5875000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,417.1925000000,-220.0000000000,0.0000000000
12,RegionE,1059.8100000000,443.6849995833,382.8900000000,298.6500000000,0.2059000000,0.0000000000,0.0000000000,370.0000000000,443.6849995833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,396.1250004167,-220.0000000000,0.0000000000
13,RegionE,1012.1300000000,430.6812495833,383.1200000000,298.8300000000,0.2055000000,0.0000000000,0.0000000000,370.0000000000,430.6812495833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,361.4487504167,-220.0000000000,0.0000000000
14,RegionE,950.0000000000,399.7300000000,383.3400000000,299.0100000000,0.2063000000,0.0000000000,0.0000000000,370.0000000000,399.7300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,330.2700000000,-220.0000000000,0.0000000000
15,RegionE,877.6500000000,371.3024995833,383.5500000000,299.1700000000,0.2083000000,0.0000000000,0.0000000000,370.0000000000,371.3024995833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,286.3475004167,-220.0000000000,0.0000000000
16,RegionE,800.0000000000,336.3374995833,383.7700000000,299.3400000000,0.2113000000,0.0000000000,0.0000000000,370.0000000000,336.3374995833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,243.6625004167,-220.0000000000,0.0000000000
17,RegionE,722.3500000000,343.7250000000,556.7700000000,434.2800000000,0.2151000000,0.0000000000,0.0000000000,370.0000000000,343.7250000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,158.6250000000,-220.0000000000,0.0000000000
18,RegionE,650.0000000000,278.7624995833,557.0600000000,434.5100000000,0.2196000000,0.0000000000,0.0000000000,370.0000000000,278.7624995833,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,151.2375004167,-220.0000000000,0.0000000000
19,RegionE,587.8700000000,322.8250004167,557.3500000000,434.7300000000,0.2243000000,0.0000000000,0.0000000000,370.0000000000,322.8250004167,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,45.0449995833,-220.0000000000,0.0000000000
20,RegionE,540.1900000000,292.7625000000,557.6300000000,434.9500000000,0.2290000000,0.0000000000,0.0000000000,370.0000000000,292.7625000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,27.4275000000,-220.0000000000,0.0000000000
21,RegionE,510.2200000000,309.5500000000,557.9000000000,435.1600000000,0.2335000000,0.0000000000,0.0000000000,370.0000000000,309.5500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,200.6700000000,0.0000000000,-200.6700000000,0.0000000000
22,RegionE,500.0000000000,361.8250000000,346.4500000000,270.2300000000,0.2373000000,0.0000000000,0.0000000000,370.0000000000,361.8250000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,138.1750000000,0.0000000000,-138.1750000000,0.0000000000
23,RegionE,510.2200000000,405.4500004167,346.6100000000,270.3600000000,0.2402000000,0.0000000000,0.0000000000,370.0000000000,405.4500004167,0.0000000000,0.0000000000,0.0000000000,0.0000000000,104.7699995833,0.0000000000,-104.7699995833,0.0000000000
0,RegionF,540.1900000000,478.7519000000,260.0000000000,202.8000000000,0.2801000000,0.0000000000,0.0000000000,382.5000000000,478.7519000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,61.4381000000,0.0000000000,-61.4381000000,0.0000000000
1,RegionF,587.8700000000,462.8261000000,260.1700000000,202.9300000000,0.2811000000,0.0000000000,0.0000000000,382.5000000000,462.8261000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,125.0439000000,0.0000000000,-125.0439000000,0.0000000000
2,RegionF,650.0000000000,508.7493000000,260.3400000000,203.0700000000,0.2807000000,0.0000000000,0.0000000000,382.5000000000,508.7493000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,141.2507000000,0.0000000000,-141.2507000000,0.0000000000
3,RegionF,722.3500000000,547.4335000000,260.5100000000,203.2000000000,0.2789000000,0.0000000000,0.0000000000,382.5000000000,547.4335000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,174.9165000000,0.0000000000,-174.9165000000,0.0000000000
4,RegionF,800.0000000000,559.1429000000,260.6800000000,203.3300000000,0.2759000000,0.0000000000,0.0000000000,382.5000000000,559.1429000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,20.8571000000,-220.0000000000,0.0000000000
5,RegionF,877.6500000000,592.5184995767,260.8400000000,203.4600000000,0.2719000000,0.0000000000,0.0000000000,382.5000000000,592.5184995767,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,65.1315004233,-220.0000000000,0.0000000000
6,RegionF,950.0000000000,613.7783004233,261.0100000000,203.5900000000,0.2671000000,0.0000000000,0.0000000000,382.5000000000,613.7783004233,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,116.2216995767,-220.0000000000,0.0000000000
7,RegionF,1012.1300000000,570.3951000000,401.8100000000,313.4100000000,0.2620000000,0.0000000000,0.0000000000,382.5000000000,570.3951000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,221.7349000000,-220.0000000000,0.0000000000
8,RegionF,1059.8100000000,561.6194000000,402.0600000000,313.6100000000,0.2569000000,0.0000000000,0.0000000000,382.5000000000,561.6194000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,278.1906000000,-220.0000000000,0.0000000000
9,RegionF,1089.7800000000,554.6089995767,402.3100000000,313.8000000000,0.2522000000,0.0000000000,0.0000000000,382.5000000000,554.6089995767,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,315.1710004233,-220.0000000000,0.0000000000
10,RegionF,1100.0000000000,513.6895995767,402.5600000000,314.0000000000,0.2481000000,0.0000000000,0.0000000000,382.5000000000,513.6895995767,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,366.3104004233,-220.0000000000,0.0000000000
11,RegionF,1089.7800000000,456.5522995767,402.8000000000,314.1800000000,0.2451000000,0.0000000000,0.0000000000,382.5000000000,456.5522995767,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,413.2277004233,-220.0000000000,0.0000000000
12,RegionF,1059.8100000000,475.1324004233,403.0400000000,314.3700000000,0.2433000000,0.0000000000,0.0000000000,382.5000000000,475.1324004233,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,364.6775995767,-220.0000000000,0.0000000000
13,RegionF,1012.1300000000,445.8665200000,403.2800000000,314.5600000000,0.2428000000,0.0000000000,0.0000000000,382.5000000000,445.8665200000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,346.2634800000,-220.0000000000,0.0000000000
14,RegionF,950.0000000000,398.6822100000,403.5100000000,314.7400000000,0.2438000000,0.0000000000,0.0000000000,382.5000000000,398.6822100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,331.3177900000,-220.0000000000,0.0000000000
15,RegionF,877.6500000000,353.4283000000,403.7400000000,314.9200000000,0.2461000000,0.0000000000,0.0000000000,382.5000000000,353.4283000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,304.2217000000,-220.0000000000,0.0000000000
16,RegionF,800.0000000000,307.3908004233,403.9700000000,315.1000000000,0.2497000000,0.0000000000,0.0000000000,382.5000000000,307.3908004233,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,272.6091995767,-220.0000000000,0.0000000000
17,RegionF,722.3500000000,331.7367004233,586.0700000000,457.1300000000,0.2542000000,0.0000000000,0.0000000000,382.5000000000,331.7367004233,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,170.6132995767,-220.0000000000,0.0000000000
18,RegionF,650.0000000000,310.2737004233,586.3800000000,457.3800000000,0.2595000000,0.0000000000,0.0000000000,382.5000000000,310.2737004233,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,119.7262995767,-220.0000000000,0.0000000000
19,RegionF,587.8700000000,271.9324000000,586.6800000000,457.6100000000,0.2651000000,0.0000000000,0.0000000000,382.5000000000,271.9324000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,95.9376000000,-220.0000000000,0.0000000000
20,RegionF,540.1900000000,319.8495000000,586.9800000000,457.8400000000,0.2707000000,0.0000000000,0.0000000000,382.5000000000,319.8495000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,220.0000000000,0.3405000000,-220.0000000000,0.0000000000
21,RegionF,510.2200000000,325.3993995767,587.2700000000,458.0700000000,0.2759000000,0.0000000000,0.0000000000,382.5000000000,325.3993995767,0.0000000000,0.0000000000,0.0000000000,0.0000000000,184.8206004233,0.0000000000,-184.8206004233,0.0000000000
22,RegionF,500.0000000000,368.4523995767,364.6800000000,284.4500000000,0.2804000000,0.0000000000,0.0000000000,382.5000000000,368.4523995767,0.0000000000,0.0000000000,0.0000000000,0.0000000000,131.5476004233,0.0000000000,-131.5476004233,0.0000000000
23,RegionF,510.2200000000,391.4902000000,364.8500000000,284.5800000000,0.2839000000,0.0000000000,0.0000000000,382.5000000000,391.4902000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,118.7298000000,0.0000000000,-118.7298000000,0.0000000000
